date,geography,geography code,Rural Urban,Household Spaces: All categories: Household spaces; measures: Value,Household Spaces: Household spaces with at least one usual resident; measures: Value,Household Spaces: Household spaces with no usual residents; measures: Value
2011,AL1  1,AL1  1,Total,2546,2454,92
2011,AL1  2,AL1  2,Total,2642,2577,65
2011,AL1  3,AL1  3,Total,2272,2110,162
2011,AL1  4,AL1  4,Total,3707,3611,96
2011,AL1  5,AL1  5,Total,4406,4247,159
2011,AL10 0,AL10 0,Total,4404,4201,203
2011,AL10 8,AL10 8,Total,4181,4071,110
2011,AL10 9,AL10 9,Total,4662,4390,272
2011,AL2  1,AL2  1,Total,3906,3763,143
2011,AL2  2,AL2  2,Total,2597,2513,84
2011,AL2  3,AL2  3,Total,3320,3180,140
2011,AL3  4,AL3  4,Total,2416,2320,96
2011,AL3  5,AL3  5,Total,3555,3424,131
2011,AL3  6,AL3  6,Total,1645,1602,43
2011,AL3  7,AL3  7,Total,2274,2199,75
2011,AL3  8,AL3  8,Total,1919,1874,45
2011,AL4  0,AL4  0,Total,3566,3459,107
2011,AL4  8,AL4  8,Total,2670,2617,53
2011,AL4  9,AL4  9,Total,4820,4711,109
2011,AL5  1,AL5  1,Total,2459,2411,48
2011,AL5  2,AL5  2,Total,1913,1835,78
2011,AL5  3,AL5  3,Total,1678,1630,48
2011,AL5  4,AL5  4,Total,2588,2517,71
2011,AL5  5,AL5  5,Total,3255,3191,64
2011,AL6  0,AL6  0,Total,2596,2536,60
2011,AL6  9,AL6  9,Total,2112,1987,125
2011,AL7  1,AL7  1,Total,2523,2484,39
2011,AL7  2,AL7  2,Total,3404,3333,71
2011,AL7  3,AL7  3,Total,4186,4009,177
2011,AL7  4,AL7  4,Total,4624,4318,306
2011,AL8  6,AL8  6,Total,2760,2669,91
2011,AL8  7,AL8  7,Total,3014,2941,73
2011,AL9  5,AL9  5,Total,970,886,84
2011,AL9  6,AL9  6,Total,583,531,52
2011,AL9  7,AL9  7,Total,2902,2780,122
2011,B1   1,B1   1,Total,2439,2168,271
2011,B1   2,B1   2,Total,1623,1454,169
2011,B1   3,B1   3,Total,643,618,25
2011,B10  0,B10  0,Total,2608,2524,84
2011,B10  9,B10  9,Total,4674,4527,147
2011,B11  1,B11  1,Total,3329,3284,45
2011,B11  2,B11  2,Total,1156,1120,36
2011,B11  3,B11  3,Total,5650,5385,265
2011,B11  4,B11  4,Total,3086,2964,122
2011,B12  0,B12  0,Total,1909,1878,31
2011,B12  8,B12  8,Total,2572,2479,93
2011,B12  9,B12  9,Total,2433,2362,71
2011,B13  0,B13  0,Total,5438,5280,158
2011,B13  8,B13  8,Total,3664,3458,206
2011,B13  9,B13  9,Total,6644,6342,302
2011,B14  4,B14  4,Total,5333,5213,120
2011,B14  5,B14  5,Total,4984,4790,194
2011,B14  6,B14  6,Total,5117,4981,136
2011,B14  7,B14  7,Total,3377,3216,161
